Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
0,0,0,4,4,4,1,0.0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0,6,6,4,1,0.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5,0,8,8,4,1,0.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5,0.5666666666666667,10,10,4,1,3.0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.3333333333333333,0.5666666666666667,10,10,4,1,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.3333333333333333,0.5666666666666667,10,10,4,1,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5,0.5666666666666667,10,10,4,1,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4,0.5666666666666667,10,10,4,1,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,0.5666666666666667,10,10,4,1,8.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.3333333333333333,0.5666666666666667,10,10,4,1,8.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.42857142857142855,0.5666666666666667,10,10,4,1,8.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5,0.5666666666666667,10,10,4,1,8.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.5,0.5666666666666667,10,10,4,1,12.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.5,0.5666666666666667,10,10,4,1,13.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.5555555555555556,0.5666666666666667,10,10,4,1,12.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.5555555555555556,0.5666666666666667,10,10,4,1,12.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.6,0.5666666666666667,10,10,4,1,16.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.5454545454545454,0.5666666666666667,10,10,4,1,17.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.5833333333333334,0.5666666666666667,10,10,4,1,16.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.5833333333333334,0.5666666666666667,10,10,4,1,16.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5833333333333334,0.5666666666666667,10,10,4,1,20.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.5384615384615384,0.5666666666666667,10,10,4,1,21.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.5714285714285714,0.5666666666666667,10,10,4,1,20.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.5714285714285714,0.5666666666666667,10,10,4,1,23.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.6,0.5666666666666667,10,10,4,1,24.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5625,0.5666666666666667,10,10,4,1,25.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.5882352941176471,0.5666666666666667,10,10,4,1,24.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.6111111111111112,0.5666666666666667,10,10,4,1,24.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.6111111111111112,0.5666666666666667,10,10,4,1,28.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.6111111111111112,0.5666666666666667,11,12,4,1,28.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.631578947368421,0.5666666666666667,11,12,4,1,28.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.631578947368421,0.5555555555555556,11,12,4,1,31.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.65,0.5555555555555556,11,12,4,1,32.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.6190476190476191,0.5555555555555556,11,12,5,1,33.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.6363636363636364,0.5555555555555556,11,12,4,1,32.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.6363636363636364,0.5555555555555556,11,12,4,1,32.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.6363636363636364,0.5555555555555556,12,14,4,1,36.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.6086956521739131,0.5555555555555556,12,14,6,1,37.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.6086956521739131,0.5555555555555556,12,14,5,2,19.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.6086956521739131,0.5476190476190477,12,14,5,1,39.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.6086956521739131,0.5476190476190477,12,14,5,1,40.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.5833333333333334,0.5476190476190477,12,14,6,1,41.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.6,0.5476190476190477,12,14,5,2,23.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.6153846153846154,0.5476190476190477,12,14,5,1,40.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.6153846153846154,0.5476190476190477,12,14,5,1,44.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.6153846153846154,0.5476190476190477,12,14,6,2,26.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.6296296296296297,0.5476190476190477,12,14,5,2,27.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.6428571428571429,0.5476190476190477,12,14,5,1,44.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.6428571428571429,0.5476190476190477,12,14,5,1,48.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.6428571428571429,0.5476190476190477,12,14,6,1,49.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.6428571428571429,0.5476190476190477,12,14,5,1,50.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.6551724137931034,0.5476190476190477,12,14,5,1,48.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.6551724137931034,0.5476190476190477,12,14,5,1,52.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.6333333333333333,0.5476190476190477,12,14,6,1,53.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.6333333333333333,0.5476190476190477,13,16,5,1,52.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.6333333333333333,0.5624999999999999,13,16,5,1,55.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.6333333333333333,0.5624999999999999,13,16,5,1,56.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.6333333333333333,0.5624999999999999,13,17,6,2,42.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.6333333333333333,0.5624999999999999,13,17,6,1,58.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.6333333333333333,0.5490196078431372,13,17,5,2,39.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.6451612903225806,0.5490196078431372,13,17,5,1,60.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.6451612903225806,0.5490196078431372,13,17,6,2,42.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.65625,0.5490196078431372,13,17,6,3,31.333333333333332,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.65625,0.5490196078431372,13,17,5,1,63.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.6666666666666666,0.5490196078431372,13,17,5,1,64.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.6470588235294118,0.5490196078431372,13,17,6,1,65.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.6470588235294118,0.5490196078431372,13,17,6,3,35.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.6571428571428571,0.5490196078431372,13,17,5,1,64.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.6571428571428571,0.5490196078431372,13,17,5,2,56.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.6388888888888888,0.5490196078431372,13,17,6,1,69.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.6388888888888888,0.5490196078431372,13,17,6,1,70.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.6486486486486487,0.5490196078431372,13,17,5,1,68.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.6486486486486487,0.5490196078431372,13,17,5,1,72.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.6486486486486487,0.5490196078431372,13,17,6,2,54.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.6486486486486487,0.5490196078431372,13,17,6,1,74.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.6486486486486487,0.5490196078431372,13,17,5,1,75.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.6486486486486487,0.5490196078431372,13,17,5,1,76.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.6486486486486487,0.5490196078431372,13,17,6,2,58.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.6486486486486487,0.5490196078431372,13,17,6,1,78.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.6578947368421053,0.5490196078431372,13,17,5,1,76.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.6666666666666666,0.5490196078431372,13,17,5,1,80.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.65,0.5490196078431372,13,17,6,1,81.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.6585365853658537,0.5490196078431372,13,17,6,3,51.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.6666666666666666,0.5490196078431372,13,17,5,1,80.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.6744186046511628,0.5490196078431372,13,17,5,1,84.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.6744186046511628,0.5490196078431372,13,17,6,1,85.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.6744186046511628,0.5490196078431372,13,17,6,1,86.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.6818181818181818,0.5490196078431372,13,17,5,1,84.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.6818181818181818,0.5490196078431372,14,19,5,1,88.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.6666666666666666,0.5490196078431372,14,19,6,1,89.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.6666666666666666,0.5490196078431372,14,19,6,1,90.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.6666666666666666,0.5438596491228069,14,19,5,1,91.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.6666666666666666,0.5438596491228069,14,19,6,1,92.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.6521739130434783,0.5438596491228069,14,19,6,1,93.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.6595744680851063,0.5438596491228069,14,19,6,3,63.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.6666666666666666,0.5438596491228069,14,19,5,1,92.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.6666666666666666,0.5438596491228069,14,19,6,1,96.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.6666666666666666,0.5438596491228069,14,19,6,2,78.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.6666666666666666,0.5438596491228069,14,19,6,1,96.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.6666666666666666,0.5438596491228069,14,19,5,2,79.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.6666666666666666,0.5438596491228069,14,19,6,2,70.66666666666667,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.6666666666666666,0.5438596491228069,14,19,6,2,82.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.673469387755102,0.5438596491228069,14,19,6,3,71.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.673469387755102,0.5438596491228069,14,19,5,1,103.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.68,0.5438596491228069,14,19,6,1,104.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.68,0.5438596491228069,14,19,6,1,105.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.68,0.5438596491228069,14,19,6,1,106.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.68,0.5438596491228069,14,19,5,1,104.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.68,0.5438596491228069,14,19,6,1,108.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.68,0.5438596491228069,14,19,6,2,94.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.7,0.5438596491228069,14,19,6,3,79.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.7,0.5438596491228069,14,19,5,2,91.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.7,0.5438596491228069,14,19,6,1,112.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.7,0.5438596491228069,14,19,6,1,113.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.7,0.5438596491228069,14,19,6,1,112.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.72,0.5438596491228069,14,19,5,1,112.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.72,0.5438596491228069,15,21,6,2,107.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.72,0.5438596491228069,15,21,6,1,117.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.72,0.5438596491228069,15,21,6,3,87.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.72,0.5238095238095238,15,21,5,1,116.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.72,0.5238095238095238,15,21,7,2,62.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.72,0.5238095238095238,15,21,6,2,102.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.72,0.5238095238095238,15,21,6,3,91.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.72,0.5238095238095238,15,21,5,2,103.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.72,0.5238095238095238,15,21,7,2,94.66666666666667,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.7,0.5238095238095238,15,21,6,1,125.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.72,0.5238095238095238,15,21,6,3,95.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.72,0.5238095238095238,15,21,5,2,107.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.72,0.5238095238095238,15,21,7,2,70.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.72,0.5238095238095238,15,21,6,1,129.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.72,0.5238095238095238,15,21,6,1,130.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.74,0.5238095238095238,15,21,5,1,128.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.74,0.5238095238095238,15,21,7,2,74.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.74,0.5238095238095238,15,21,6,1,133.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.74,0.5238095238095238,15,21,6,1,134.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.74,0.5238095238095238,15,21,5,2,115.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.74,0.5238095238095238,15,21,7,2,78.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.74,0.5238095238095238,15,21,6,1,137.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.74,0.5238095238095238,15,21,6,3,107.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.74,0.5238095238095238,15,21,5,1,136.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.74,0.5238095238095238,15,21,7,2,82.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.72,0.5238095238095238,15,21,6,1,141.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.72,0.5238095238095238,15,21,6,1,142.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.72,0.5238095238095238,15,21,5,1,143.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.72,0.5238095238095238,15,21,7,2,86.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.72,0.5238095238095238,15,21,6,1,145.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.72,0.5238095238095238,15,21,6,3,115.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.74,0.5238095238095238,15,21,5,1,144.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.74,0.5238095238095238,15,21,7,1,148.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.74,0.5238095238095238,15,21,6,1,149.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.74,0.5238095238095238,15,21,6,3,119.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.74,0.5238095238095238,15,21,5,2,131.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.74,0.5238095238095238,15,21,7,2,94.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
153,0.72,0.5238095238095238,15,21,6,1,153.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.72,0.5238095238095238,15,21,6,3,123.33333333333333,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.72,0.5238095238095238,15,21,5,2,135.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
156,0.72,0.5238095238095238,15,21,7,1,156.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
157,0.7,0.5238095238095238,15,21,6,1,157.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.7,0.5238095238095238,15,21,6,1,158.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.7,0.5238095238095238,15,21,5,1,159.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
160,0.7,0.5238095238095238,15,21,7,2,102.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.7,0.5238095238095238,16,23,6,2,148.8,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.7,0.5238095238095238,16,23,6,1,162.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
163,0.7,0.5217391304347826,16,23,5,1,160.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
164,0.7,0.5217391304347826,17,25,7,2,120.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
165,0.7,0.5217391304347826,17,25,7,1,165.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.7,0.5217391304347826,17,25,6,1,166.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.7,0.5199999999999999,17,25,5,1,167.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.7,0.5199999999999999,17,25,8,2,110.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.68,0.5199999999999999,17,25,7,1,169.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.68,0.5199999999999999,17,25,6,1,170.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.68,0.5199999999999999,17,25,5,1,171.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
172,0.68,0.5199999999999999,17,25,8,2,114.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
173,0.68,0.5199999999999999,17,25,7,3,136.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
174,0.68,0.5199999999999999,17,25,6,3,143.33333333333334,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
175,0.7,0.5199999999999999,17,25,5,1,172.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
176,0.7,0.5199999999999999,17,25,8,2,118.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
177,0.7,0.5199999999999999,17,25,7,1,177.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
178,0.7,0.5199999999999999,17,25,6,3,147.33333333333334,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
179,0.7,0.5199999999999999,17,25,5,1,176.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
180,0.7,0.5199999999999999,17,25,8,2,122.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
181,0.68,0.5199999999999999,17,25,7,1,181.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
182,0.68,0.5199999999999999,17,25,6,1,182.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
183,0.7,0.5199999999999999,17,25,5,1,180.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
184,0.7,0.5199999999999999,17,25,8,1,184.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
185,0.7,0.5199999999999999,17,25,7,3,148.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
186,0.7,0.5199999999999999,17,25,6,3,155.33333333333334,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
187,0.7,0.5199999999999999,17,25,5,1,187.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
188,0.7,0.5199999999999999,17,25,8,2,130.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
189,0.68,0.5199999999999999,17,25,7,1,189.0,0,0,0,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
190,0.68,0.5199999999999999,18,27,6,3,166.5,0,0,1,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
191,0.68,0.5402298850574712,19,29,5,2,166.0,0,0,1,0,0,0.01564955711364746,0.01564955711364746,0.0,0.0,0.0,0.0
